time,stock_code,current_price,volume,ma5,rsi14,disparity,stoch_k,stoch_d,vol_ratio,z_vol,obv_delta,spread,bid_ask_imbalance,accel_delta,ret_1s,ask1,ask2,ask3,ask4,ask5,bid1,bid2,bid3,bid4,bid5,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,indiv_net_vol,foreign_net_vol,inst_net_vol,pension_net_vol,trust_net_vol,insurance_net_vol,private_fund_net_vol,bank_net_vol,state_net_vol,other_net_vol,prog_net_vol
1756771216836,133820,2070.0,7802,2070.0,50.0,100.0,nan,nan,1.0,0.0,0.0,5.0,0.5288343558282208,0.0,0.0,2075.0,2080.0,2085.0,0.0,0.0,2070.0,2065.0,2060.0,0.0,0.0,1304,10,798,0,0,397,2600,3856,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771217835,133820,2070.0,7811,2070.0,50.0,100.0,nan,nan,1.0005764427079997,0.0,0.0,5.0,0.48613678373382624,0.0,0.0,2075.0,2080.0,2085.0,2090.0,2095.0,2070.0,2065.0,2060.0,2055.0,2050.0,1304,10,798,1084,1,397,2600,3856,536,1857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771217837,133820,2070.0,8199,2070.0,50.0,100.0,nan,nan,1.0329665714765666,0.0,0.0,5.0,0.48613678373382624,0.0,0.0,2075.0,2080.0,2085.0,2090.0,2095.0,2070.0,2065.0,2060.0,2055.0,2050.0,1304,10,798,1084,1,397,2600,3856,536,1857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771219547,133820,2065.0,10539,2068.75,50.0,99.81873111782478,nan,nan,1.2272131815667666,0.0,-10539.0,10.0,0.4739613327848622,-0.8761682242990655,0.0,2075.0,2080.0,2085.0,2090.0,2095.0,2065.0,2060.0,2055.0,2050.0,2040.0,1304,10,798,1084,1,2600,3856,536,1857,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771219549,133820,2065.0,10799,2068.0,50.0,99.85493230174082,nan,nan,1.1959025470653377,0.0,0.0,10.0,0.4739613327848622,0.2628504672897197,0.0,2075.0,2080.0,2085.0,2090.0,2095.0,2065.0,2060.0,2055.0,2050.0,2040.0,1304,10,798,1084,1,2600,3856,536,1857,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771219639,133820,2060.0,14655,2066.0,50.0,99.70958373668925,nan,nan,1.470278404815651,0.0,-14655.0,10.0,0.4739613327848622,-16.120352498984154,-2.63185598484051,2075.0,2080.0,2085.0,2090.0,2095.0,2065.0,2060.0,2055.0,2050.0,2040.0,1304,10,798,1084,1,2600,3856,536,1857,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771222102,133820,2055.0,14686,2063.0,50.0,99.61221522055259,nan,nan,1.380059336027171,0.0,-14686.0,15.0,0.06009967751392554,-11.284246749288908,0.0,2070.0,2075.0,2080.0,2085.0,2090.0,2055.0,2050.0,2040.0,2035.0,2030.0,10,1304,10,798,1084,536,1857,109,1,1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771222104,133820,2055.0,14691,2060.0,50.0,99.75728155339806,nan,nan,1.3178444080644076,0.0,0.0,15.0,0.06009967751392554,-7.290453454725358,0.0,2070.0,2075.0,2080.0,2085.0,2090.0,2055.0,2050.0,2040.0,2035.0,2030.0,10,1304,10,798,1084,536,1857,109,1,1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771222106,133820,2055.0,15137,2058.0,50.0,99.85422740524781,nan,nan,1.3059270123371582,0.0,0.0,15.0,0.06009967751392554,-5.103317418307751,0.0,2070.0,2075.0,2080.0,2085.0,2090.0,2055.0,2050.0,2040.0,2035.0,2030.0,10,1304,10,798,1084,536,1857,109,1,1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771222199,133820,2055.0,15191,2056.0,50.0,99.95136186770428,nan,nan,1.2711070203330266,1.0528596990132035,0.0,15.0,0.06009967751392554,-3.572322192815425,0.0,2070.0,2075.0,2080.0,2085.0,2090.0,2055.0,2050.0,2040.0,2035.0,2030.0,10,1304,10,798,1084,536,1857,109,1,1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771222435,133820,2050.0,15197,2054.0,50.0,99.80525803310614,nan,nan,1.240967433021298,0.9584178823145743,-15197.0,10.0,0.3897171520133761,-7.059896051688122,-0.7306576649642343,2060.0,2070.0,2075.0,2080.0,2085.0,2050.0,2040.0,2035.0,2030.0,2025.0,68,10,1304,10,798,1857,109,1893,1113,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771224836,133820,2050.0,15207,2053.0,50.0,99.85387238188017,nan,nan,1.217257894526195,0.8871735000820955,0.0,10.0,0.36559287183002054,-4.373099022302277,0.0,2060.0,2070.0,2075.0,2080.0,2085.0,2050.0,2040.0,2035.0,2030.0,2025.0,68,134,1304,10,798,1851,109,1893,1113,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771228039,133820,2050.0,15217,2052.0,50.0,99.90253411306043,nan,nan,1.1979640406707401,0.8305556799454491,0.0,10.0,0.3647220315717227,-3.0611693156115938,0.0,2060.0,2070.0,2075.0,2080.0,2085.0,2050.0,2040.0,2035.0,2030.0,2025.0,68,134,1304,10,798,1841,109,1893,1113,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771231432,133820,2050.0,15226,2051.0,50.0,99.95124329595319,0.0,nan,1.1819003420992809,0.7839902086011248,0.0,10.0,0.47539839478887985,-2.1428185209281154,0.0,2060.0,2070.0,2075.0,2080.0,2085.0,2050.0,2040.0,2035.0,2030.0,2025.0,9,134,1304,10,798,1831,109,3274,1113,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771231840,133820,2050.0,15826,2050.0,0.0,100.0,0.0,nan,1.210043683703481,0.9220001126708689,0.0,10.0,0.6128755364806867,-1.4999729646496807,0.0,2060.0,2070.0,2075.0,2080.0,2085.0,2050.0,2040.0,2035.0,2030.0,2025.0,9,134,1304,10,798,1822,109,6336,1113,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771233437,133820,2050.0,15836,2050.0,0.0,100.0,0.0,0.0,1.1950627066442159,0.8729185235455384,0.0,10.0,0.5918552036199095,-1.0499810752547765,0.0,2060.0,2070.0,2075.0,2080.0,2085.0,2050.0,2040.0,2035.0,2030.0,2025.0,9,134,1304,10,798,1222,109,6336,1113,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771235335,133820,2060.0,15845,2052.0,33.33333333177778,100.3898635477583,50.0,16.666666666666668,1.1821305691113997,0.8312515896555277,15845.0,10.0,0.5914855072463768,0.12338234603410281,0.0,2060.0,2070.0,2075.0,2080.0,2085.0,2050.0,2040.0,2035.0,2030.0,2025.0,9,134,1304,10,798,1212,109,6336,1113,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771238268,133820,2055.0,15858,2053.0,33.33333333177778,100.09741841207989,25.0,25.0,1.1711868440272113,0.7968228358199584,-15858.0,5.0,0.608703130374957,-0.8451165225453269,0.0,2060.0,2070.0,2075.0,2080.0,2085.0,2055.0,2050.0,2040.0,2035.0,2030.0,29,134,1304,10,798,101,1212,109,6336,1595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771238269,133820,2060.0,15867,2055.0,42.85714285542857,100.24330900243311,50.0,41.666666666666664,1.161347360635466,0.7657936962689732,15867.0,5.0,0.608703130374957,0.43091332174383334,243.30900243309003,2060.0,2070.0,2075.0,2080.0,2085.0,2055.0,2050.0,2040.0,2035.0,2030.0,29,134,1304,10,798,101,1212,109,6336,1595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771238270,133820,2060.0,15877,2057.0,49.99999999766666,100.14584346135149,50.0,41.666666666666664,1.152737542927258,0.738936930308107,0.0,5.0,0.608703130374957,-749.6983606747793,121.65450121654501,2060.0,2070.0,2075.0,2080.0,2085.0,2055.0,2050.0,2040.0,2035.0,2030.0,29,134,1304,10,798,101,1212,109,6336,1595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771238271,133820,2060.0,15887,2059.0,59.99999999664,100.04856726566294,50.0,50.0,1.1205744292913797,0.7152302379642684,0.0,5.0,0.608703130374957,-524.7888524723455,81.10300081103001,2060.0,2070.0,2075.0,2080.0,2085.0,2055.0,2050.0,2040.0,2035.0,2030.0,29,134,1304,10,798,101,1212,109,6336,1595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771238382,133820,2055.0,15975,2058.0,49.99999999766666,99.85422740524781,25.0,41.666666666666664,1.0952470733421318,0.7202681635599816,-15975.0,10.0,0.6104836623846883,-380.745053873499,0.0,2065.0,2070.0,2075.0,2080.0,2085.0,2055.0,2050.0,2040.0,2035.0,2030.0,13,134,1304,10,798,88,1212,109,6336,1595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771238383,133820,2050.0,17187,2057.0,42.85714285542857,99.65969859017987,0.0,25.0,1.1431212857869726,1.0987010880297066,-17187.0,10.0,0.6104836623846883,-266.5215377114493,-2.1157304559399135,2065.0,2070.0,2075.0,2080.0,2085.0,2055.0,2050.0,2040.0,2035.0,2030.0,13,134,1304,10,798,88,1212,109,6336,1595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771238384,133820,2050.0,17189,2055.0,42.85714285542857,99.7566909975669,0.0,8.333333333333334,1.1185184462165654,1.0501474065754308,0.0,10.0,0.6104836623846883,563.4349236019855,-2.0974914002852585,2065.0,2070.0,2075.0,2080.0,2085.0,2055.0,2050.0,2040.0,2035.0,2030.0,13,134,1304,10,798,88,1212,109,6336,1595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771241953,133820,2055.0,17209,2054.0,57.14285714057143,100.04868549172348,25.0,8.333333333333334,1.09694259680077,1.0134927458589151,17209.0,15.0,0.4431737518731761,394.82461458861667,0.0,2070.0,2075.0,2080.0,2085.0,2090.0,2055.0,2040.0,2035.0,2030.0,2025.0,334,1304,10,798,1084,30,109,6900,1595,515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1756771255433,133820,2055.0,17210,2053.0,57.14285714057143,100.09741841207989,25.0,16.666666666666668,1.0881454738585854,0.9750723009506678,0.0,15.0,0.5509058433273795,276.2892485122252,0.0,2070.0,2075.0,2080.0,2085.0,2090.0,2055.0,2050.0,2040.0,2035.0,2030.0,324,1304,10,798,1084,250,2,2409,6900,2595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
