time,stock_code,current_price,volume,ma5,rsi14,disparity,stoch_k,stoch_d,vol_ratio,z_vol,obv_delta,spread,bid_ask_imbalance,accel_delta,ret_1s,ask1,ask2,ask3,ask4,ask5,bid1,bid2,bid3,bid4,bid5,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,indiv_net_vol,foreign_net_vol,inst_net_vol,pension_net_vol,trust_net_vol,insurance_net_vol,private_fund_net_vol,bank_net_vol,state_net_vol,other_net_vol,prog_net_vol
145755704,161390,41050.0,194553,41050.0,50.0,100.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145755706,161390,41000.0,1000000,41025.0,50.0,99.93906154783669,50.0,50.0,1.6742664410871682,0.0,-1000000.0,50.0,-0.24651757188498402,0.0,0.0,41050.0,41100.0,41150.0,41200.0,41250.0,41000.0,40950.0,40900.0,40850.0,40800.0,1383,439,3874,2620,1438,193,1130,1433,1297,1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145758407,161390,41050.0,194555,41033.333333333336,50.0,100.04061738424046,50.0,50.0,0.42017251358425695,0.0,194555.0,50.0,-0.24651757188498402,100.0,0.12195121951219512,41050.0,41100.0,41150.0,41200.0,41250.0,41000.0,40950.0,40900.0,40850.0,40800.0,1383,439,3874,2620,1438,193,1130,1433,1297,1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145758501,161390,41000.0,1000000,41025.0,50.0,99.93906154783669,50.0,50.0,1.6742650395042835,0.0,-1000000.0,50.0,-0.24642126789366053,-100.0,0.0,41050.0,41100.0,41150.0,41200.0,41250.0,41000.0,40950.0,40900.0,40850.0,40800.0,1381,439,3874,2620,1438,193,1130,1433,1297,1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145758703,161390,41050.0,194559,41030.0,50.0,100.0487448208628,50.0,50.0,0.3765171750074603,0.0,194559.0,50.0,-0.24642126789366053,100.0,0.12195121951219512,41050.0,41100.0,41150.0,41200.0,41250.0,41000.0,40950.0,40900.0,40850.0,40800.0,1381,439,3874,2620,1438,193,1130,1433,1297,1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145758906,161390,41000.0,1000000,41020.0,50.0,99.95124329595319,50.0,50.0,1.674262703538024,0.0,-1000000.0,50.0,-0.2549440828963164,-100.0,0.0,41050.0,41100.0,41150.0,41200.0,41250.0,41000.0,40950.0,40900.0,40850.0,40800.0,1560,439,3874,2620,1438,193,1130,1433,1297,1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145759714,161390,41050.0,194565,41030.0,50.0,100.0487448208628,50.0,50.0,0.360474158283557,0.0,194565.0,50.0,-0.2549440828963164,100.0,0.0,41050.0,41100.0,41150.0,41200.0,41250.0,41000.0,40950.0,40900.0,40850.0,40800.0,1560,439,3874,2620,1438,193,1130,1433,1297,1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145759902,161390,41000.0,1000000,41020.0,50.0,99.95124329595319,50.0,50.0,1.6742594331962115,0.0,-1000000.0,50.0,-0.25466152582011253,-100.0,-0.12180267965895249,41050.0,41100.0,41150.0,41200.0,41250.0,41000.0,40950.0,40900.0,40850.0,40800.0,1554,439,3874,2620,1438,193,1130,1433,1297,1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145801713,161390,41000.0,194566,41020.0,50.0,99.95124329595319,50.0,50.0,0.3521345528211683,0.0,0.0,50.0,-0.25466152582011253,50.0,0.0,41050.0,41100.0,41150.0,41200.0,41250.0,41000.0,40950.0,40900.0,40850.0,40800.0,1554,439,3874,2620,1438,193,1130,1433,1297,1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145801714,161390,41000.0,1000000,41010.0,50.0,99.97561570348695,50.0,50.0,1.6742571906834953,0.9999999999583188,0.0,50.0,-0.25647978810619915,0.0,0.0,41050.0,41100.0,41150.0,41200.0,41250.0,41000.0,40950.0,40900.0,40850.0,40800.0,1554,439,3874,2657,1438,192,1130,1433,1297,1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
