time,stock_code,current_price,volume,ma5,rsi14,disparity,stoch_k,stoch_d,vol_ratio,z_vol,obv_delta,spread,bid_ask_imbalance,accel_delta,ret_1s,ask1,ask2,ask3,ask4,ask5,bid1,bid2,bid3,bid4,bid5,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty
1.75644E+12,161390,40200,281756,40200,100,100,4.347826087,4.347826087,1.002489358,1.569701366,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,281769,40200,100,100,4.347826087,4.347826087,1.002275644,1.484960588,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,281776,40200,100,100,4.347826087,4.347826087,1.002042128,1.406289425,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,281784,40200,100,100,4.347826087,4.347826087,1.001817275,1.342475371,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,281794,40200,100,100,4.347826087,4.347826087,1.001602669,1.29183748,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,281805,40200,100,100,4.347826087,4.347826087,1.001400087,1.250274809,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,281814,40200,100,100,4.347826087,4.347826087,1.001239585,1.211314979,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,281816,40200,100,100,4.347826087,4.347826087,1.001055169,1.166102436,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,281818,40200,100,100,4.347826087,4.347826087,1.000909214,1.126026889,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,281856,40200,100,100,4.347826087,4.347826087,1.000886877,1.148557371,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,282020,40200,100,100,4.347826087,4.347826087,1.001324708,1.370182632,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
1.75644E+12,161390,40200,282070,40200,100,100,4.347826087,4.347826087,1.001353444,1.391666287,0,50,0.331156599,0,0.062227754,40200,40250,40300,40350,40400,40150,40100,40050,40000,39950,5852,1019,490,131,497,2723,5666,2680,3293,1538
